reward,coverage_ratio,episode_length,success,average_loss,collision_count,repeated_coverage_ratio,truncated,termination_reason,mean_acceleration,max_acceleration,smoothness_cost
2270.3697499968325,0.9007232084155161,98,True,0.0,0,0.9830508474576272,False,coverage_target,0.0011143522317332512,0.005684923664536601,6.004698707565136e-06
1742.3587996375404,0.900557925828684,85,True,0.0,0,0.9903474903474904,False,coverage_target,0.12663313927669725,0.6339477070075528,0.099809579347454
1714.0724344393423,0.9015353805073432,76,True,0.0,0,0.9566115702479339,False,coverage_target,0.04083644083036344,0.28164911747297827,0.014713661219991505
1868.1886129096824,0.9014502307185234,95,True,0.0,0,0.9781746031746031,False,coverage_target,0.054558128839261776,0.39041628743278406,0.028287711182363427
1599.7593407805998,0.904950495049505,66,True,0.0,0,0.9533898305084746,False,coverage_target,0.0024408922511453307,0.014640226588774707,3.511101746866222e-05
1605.8124413891642,0.9042763157894737,74,True,0.0,0,0.9711934156378601,False,coverage_target,0.13126138540799123,0.5789703889414378,0.13155150275650748
1825.2669787879865,0.9055222887558216,84,True,0.0,0,0.9455252918287937,False,coverage_target,0.01833014446753101,0.1522732499385824,0.004431970895891312
1491.904173180993,0.9025844930417495,84,True,0.0,0,0.9717171717171718,False,coverage_target,0.09530301826435787,0.33950598228736656,0.03430418876349018
1726.766182026005,0.9009216589861752,72,True,0.0,0,0.9938775510204082,False,coverage_target,0.012447317867230183,0.1862885960464477,0.002522153738209468
1619.6956304091336,0.9008183306055646,80,True,0.0,0,0.9903846153846154,False,coverage_target,0.05645818344757569,0.5831627551456107,0.0718442417628944
