reward,coverage_ratio,episode_length,success,average_loss,collision_count,repeated_coverage_ratio,truncated,termination_reason,mean_acceleration,max_acceleration,smoothness_cost
1320.275712602081,0.9007232084155161,75,True,4.432895942167803,0,0.9909297052154195,False,coverage_target,0.06273716925260688,0.47440407109042754,0.0399210617674661
1576.781550719027,0.9017624020887729,79,True,3.9412713050842285,0,0.9881188118811881,False,coverage_target,8.920740094045893e-08,5.042739402846828e-07,7.452686430602082e-14
1790.0399108274019,0.868766404199475,100,False,4.56434647904502,0,0.9979035639412998,True,max_steps,0.04382897881021721,0.2285017654083231,0.0075349471185917625
1992.9850535796802,0.8951163552933464,100,False,5.5909138982360425,0,0.902127659574468,True,max_steps,7.955554266023281e-07,3.941010810286961e-06,3.800452143462744e-12
1460.6165003850372,0.8808664259927798,100,False,6.902632126808166,0,0.9689922480620154,True,max_steps,0.04839907526839781,0.5666047364018508,0.041040633624210655
1462.927260623254,0.8727272727272727,100,False,6.156835922002792,0,0.9957081545064378,True,max_steps,0.07227538649956573,0.41210782127952506,0.025187672086226007
1052.38322784903,0.8242225859247135,100,False,7.3941502547264095,0,0.98125,True,max_steps,0.009870047477045266,0.09271847117754788,0.000862434691630281
1504.5226974090351,0.8825831702544031,100,False,7.521278462409973,0,0.9254901960784314,True,max_steps,3.314688003898904e-05,0.0001748926432376266,6.524395248565344e-09
2005.744085043953,0.9015353805073432,93,True,11.376527458108882,0,0.98828125,False,coverage_target,0.01854374847426798,0.14317715394773312,0.0021191556435791697
1367.035455561403,0.9037834311806915,76,True,11.818566510551854,0,0.9602510460251046,False,coverage_target,0.06295337744401351,0.3830851784287942,0.02519860490196706
1435.1907081407157,0.8636959370904325,100,False,10.725797142982483,0,0.9975903614457832,True,max_steps,0.11591178081123732,0.7876169612210551,0.06549410726207158
1241.82539528506,0.8655296818629059,100,False,14.02744261264801,0,0.9844660194174757,True,max_steps,0.016932242323677908,0.29092010873540064,0.004120130230065542
1457.2999154062131,0.8632168754119973,100,False,17.322829451560974,0,0.9976525821596244,True,max_steps,0.02138740947634019,0.348014405355181,0.015655823001469917
1115.4963324705097,0.8431114040870138,100,False,17.948233642578124,0,0.9730290456431535,True,max_steps,0.13371082159249634,0.6059541680442305,0.08194955456714935
1323.2519792329015,0.8617724867724867,100,False,16.500429663658142,0,0.9979919678714859,True,max_steps,0.00020995776740744598,0.0010626436545553254,2.0464184448801166e-07
1819.0341190739741,0.8829332456428807,100,False,18.95367721557617,0,0.9978902953586498,True,max_steps,0.0005606044078689107,0.0027819710024684983,1.324964625613318e-06
1703.3697972759733,0.9037328094302554,88,True,22.800784815441478,0,0.9605263157894737,False,coverage_target,0.07989175553856935,0.45701181948658404,0.03494394178371373
1277.7076548831885,0.8438943894389439,100,False,23.961756429672242,0,0.9956616052060737,True,max_steps,0.060501933288672684,0.23755819867956102,0.015138033970170134
1469.1529025658244,0.8910277324632953,100,False,23.982619524002075,0,0.9961240310077519,True,max_steps,0.04155160421864349,0.45105202441005116,0.035083979043921854
